siret,regionCRPInstructeur,typeAide,dateDecision,dureeAide,montant
84202962100013,Nouvelle-Aquitaine,Prêt à taux bonifié,12 novembre 2020,6 ans,200000
30927691300030,Auvergne-Rhône-Alpes,Prêt à taux bonifié,05 novembre 2020,5 ans,350000
72558001300094,Auvergne-Rhône-Alpes,Prêt à taux bonifié,20 novembre 2020,6 ans,1000000
39348991900240,Auvergne-Rhône-Alpes,Prêt à taux bonifié,18 janvier 2021,6 ans,1300000
80309991000025,Auvergne-Rhône-Alpes,Prêt à taux bonifié,08 mars 2021,6 ans,250000
39890332800043,Auvergne-Rhône-Alpes,Prêt à taux bonifié,08 février 2021,6 ans,500000
78237001900021,Nouvelle-Aquitaine,Prêt à taux bonifié,05 octobre 2020,6 ans,300000
85089864400024,Hauts-de-France,Prêt à taux bonifié,29 juin 2020,6 ans,300000
43748575800043,Occitanie,Prêt à taux bonifié,21 avril 2021,5 ans,800000
40249378700012,Nouvelle-Aquitaine,Prêt à taux bonifié,07 août 2020,6 ans,1100000
80252180700023,Auvergne-Rhône-Alpes,Prêt à taux bonifié,11 août 2020,5 ans,585000
40306305000013,Bourgogne-Franche-Comté,Prêt à taux bonifié,14 août 2020,6 ans,1500000
44921912000010,Hauts-de-France,Avance remboursable,29 juin 2020,10 ans (avance remboursable),800000
40329358200017,Auvergne-Rhône-Alpes,Prêt à taux bonifié,01 septembre 2020,6 ans,1000000
38987105400018,Bourgogne-Franche-Comté,Prêt à taux bonifié,03 novembre 2020,6 ans,1600000
30453691500032,Hauts-de-France,Prêt à taux bonifié,25 février 2021,6 ans,975000
30738026100031,Hauts-de-France,Prêt à taux bonifié,06 août 2020,6 ans,600000
44071787400018,Centre-Val de Loire,Prêt à taux bonifié,18 septembre 2020,6 ans,547899
40441398100014,Île-de-France,Prêt à taux bonifié,10 août 2020,6 ans,400000
47885488800029,Bourgogne-Franche-Comté,Prêt à taux bonifié,14 août 2020,6 ans,120000
44028506200020,Centre-Val de Loire,Prêt à taux bonifié,10 juillet 2020,6 ans,384000
82466539200018,Bourgogne-Franche-Comté,Prêt à taux bonifié,02 décembre 2020,6 ans,400000
79049076700031,Île-de-France,Prêt à taux bonifié,11 août 2020,6 ans,400000
73568029000013,Provence-Alpes-Côte d'Azur,Prêt à taux bonifié,26 août 2020,6 ans,600000
50428624600013,Bourgogne-Franche-Comté,Prêt à taux bonifié,19 octobre 2020,6 ans,400000
80053265700023,Île-de-France,Prêt à taux bonifié,24 août 2020,6 ans,200000
50226772700019,Auvergne-Rhône-Alpes,Prêt à taux bonifié,09 février 2021,6 ans,900000
52479982200019,Grand Est,Prêt à taux bonifié,25 octobre 2020,6 ans,2500000
33133863200010,Grand Est,Prêt à taux bonifié,26 octobre 2020,4 ans,500000
53521532100014,Pays de la Loire,Prêt à taux bonifié,26 octobre 2020,6 ans,200000
42224340200027,Grand Est,Prêt à taux bonifié,02 octobre 2020,5 ans,700000
49902616900015,Grand Est,Prêt à taux bonifié,18 août 2020,6 ans,1800000
51628009600012,Grand Est,Prêt à taux bonifié,16 octobre 2020,6 ans,800000
34865505100046,Nouvelle-Aquitaine,Prêt à taux bonifié,28 juillet 2020,6 ans,650000
41993888100010,Nouvelle-Aquitaine,Prêt à taux bonifié,28 juillet 2020,6 ans,850000
89665005800028,Nouvelle-Aquitaine,Prêt à taux bonifié,10 septembre 2020,6 ans,690000
44104899800013,Normandie,Prêt à taux bonifié,04 novembre 2020,6 ans,745000
83191229000028,Grand Est,Prêt à taux bonifié,11 août 2020,5 ans,700000
52014562400018,Hauts-de-France,Prêt à taux bonifié,27 octobre 2020,6 ans,550000
41932434800012,Île-de-France,Avance remboursable,11 août 2020,10 ans (avance remboursable),500000
68588020500016,Grand Est,Prêt à taux bonifié,09 octobre 2020,6 ans,500000
34351099600014,Grand Est,Prêt à taux bonifié,13 août 2020,6 ans,3500000
30982515600024,Bretagne,Prêt à taux bonifié,03 décembre 2020,6 ans,1200000
48500784300033,Île-de-France,Prêt à taux bonifié,08 septembre 2020,6 ans,300000
43518990700015,Centre-Val de Loire,Prêt à taux bonifié,18 septembre 2020,6 ans,1640000
50989657700012,Nouvelle-Aquitaine,Prêt à taux bonifié,31 août 2020,6 ans,1000000
41495746400038,Centre-Val de Loire,Prêt à taux bonifié,04 novembre 2020,5 ans,500000
30228024300031,Normandie,Avance remboursable,25 août 2020,10 ans (avance remboursable),560000
61382018200012,Normandie,Prêt à taux bonifié,17 décembre 2020,6 ans,400000
33163367700025,Hauts-de-France,Avance remboursable,05 octobre 2020,10 ans (avance remboursable),250000
35550227900035,Normandie,Prêt à taux bonifié,24 août 2020,6 ans,2240000
40516655400023,Île-de-France,Avance remboursable,19 octobre 2020,10 ans (avance remboursable),600000
39938003900012,Occitanie,Avance remboursable,21 septembre 2020,10 ans (avance remboursable),600000
79285746800021,Auvergne-Rhône-Alpes,Avance remboursable,07 février 2021,10 ans (avance remboursable),370000
79947511600056,Normandie,Prêt à taux bonifié,10 décembre 2020,6 ans,700000
40098182500013,Hauts-de-France,Prêt à taux bonifié,09 mars 2021,,750000
38325614600044,Hauts-de-France,Prêt à taux bonifié,27 janvier 2021,6 ans,800000
40807360900039,Île-de-France,Prêt à taux bonifié,13 octobre 2020,6 ans,340000
48056091100046,La Réunion,Avance remboursable,26 novembre 2020,10 ans (avance remboursable),200000
33126967000013,Occitanie,Prêt à taux bonifié,20 octobre 2020,6 ans,760000
58450441900030,Auvergne-Rhône-Alpes,Prêt à taux bonifié,18 novembre 2020,6 ans,875000
32837543100017,Normandie,Prêt à taux bonifié,04 novembre 2020,6 ans,500000
